timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,alphat_eff_gamelength_2,runtime_gamelength_2,alphat_eff_gamelength_1,runtime_gamelength_1,collisions,data_of_agent,run_num
0,0.9578262852211511,22.170332193374634,4.0,"[0, 0]",22.175764322280884,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,5
1,,,3.0,"[0, 0]",14.65828561782837,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8475566422156021, 0.6524433575593971]]",[1.0],[1.0],[0.6951132846854711],[0.30488671531452805],0.9363291775690441,14.65450406074524,,,,,,,0,0,5
2,,,2.0,"[0, 0]",9.531306505203247,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.891111887254001, 0.6088881125209981]]",[1.0],[1.0],[0.7822237747753361],[0.21777622522466303],,,0.8944271909999151,9.526754379272461,,,,,0,0,5
3,,,1.0,"[0, 0]",3.638305902481079,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9237783210328011, 0.5762216787421981]]",[1.0],[1.0],[0.8475566423427351],[0.15244335765726402],,,,,0.8,3.634704828262329,,,0,0,5
4,,,0.0,"[0, 0]",0.808589935302734,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [3.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.923925874035566, 0.5760741257394331]]",[1.0],[1.0],[0.8478517483483111],[0.15214825165168902],,,,,,,0.554700196225229,0.80263066291809,0,0,5
5,,,0.0,"[0, 0]",0.7417356967926021,1,"[[11.0, 2.0, -1.5707963267948961, 0], [11.0, 1.0, -1.5707963267948961, 1]]","[[2.0, 5.0, 0.0, 0], [4.0, 5.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9130739510266581, 0.5869260487483411]]",[1.0],[1.0],[0.8261479023272381],[0.17385209767276102],,,,,,,0.6666666666666661,0.738391399383544,0,0,5
6,,,1.0,"[0, 0]",1.917614936828613,1,"[[11.0, 1.0, -1.5707963267948961, 0], [11.0, 1.0, 0.0, 1]]","[[3.0, 5.0, 0.0, 0], [5.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8913701050088411, 0.608629894766158]]",[1.0],[1.0],[0.7827402102850931],[0.217259789714906],,,,,1.0,1.914422750473022,,,0,0,5
7,,,1.0,"[0, 0]",2.091934204101562,1,"[[11.0, 1.0, 0.0, 0], [13.0, 1.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 1.5707963267948961, 0], [3.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9348146852951661, 0.565185314479833]]",[1.0],[1.0],[0.8696293708707771],[0.130370629129222],,,,,1.0,2.089205265045166,,,0,0,5
8,,,1.0,"[0, 0]",3.463510513305664,1,"[[13.0, 1.0, 1.5707963267948961, 0], [13.0, 3.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 3.141592653589793, 0], [3.0, 5.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9348146852951661, 0.565185314479833]]",[1.0],[1.0],[0.8696293708707771],[0.130370629129222],,,,,0.8944271909999151,3.458073377609253,,,0,0,5
9,,,0.0,"[1, 0]",0.7338261604309081,1,"[[13.0, 3.0, 1.5707963267948961, 0], [13.0, 5.0, 1.5707963267948961, 1]]","[[1.0, 5.0, 4.71238898038469, 0], [0.9999999999999991, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.99999999985, 0.499999999925]]",[1.0],[1.0],[1.0],[0.0],,,,,,,0.707106781186547,0.72906494140625,0,0,5
0,0.9578262852211511,0.7827951908111571,4.0,"[0, 0]",1.062500476837158,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [1.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7604461521388031, 0.739553847636196]]",[1.0],[1.0],[0.5208923045057411],[0.479107695494258],,,,,,,,,0,1,5
1,,,3.0,"[0, 0]",0.8609848022460931,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8475566422156021, 0.6524433575593971]]",[1.0],[1.0],[0.6951132846854711],[0.30488671531452805],0.9363291775690441,0.659975051879882,,,,,,,0,1,5
2,,,2.0,"[0, 0]",0.6763985157012941,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.891111887254001, 0.6088881125209981]]",[1.0],[1.0],[0.7822237747753361],[0.21777622522466303],,,0.8944271909999151,0.5131204128265381,,,,,0,1,5
3,,,1.0,"[0, 0]",0.46811366081237704,1,"[[7.0, 2.0, 0.0, 0], [8.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9020006985136011, 0.597999301261398]]",[1.0],[1.0],[0.8040013972978031],[0.19599860270219602],,,,,0.8,0.35013103485107405,,,0,1,5
4,,,0.0,"[0, 0]",0.28372955322265603,1,"[[9.0, 2.0, 0.0, 0], [10.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9238520975341841, 0.576147902240816]]",[1.0],[1.0],[0.8477041953455231],[0.152295804654476],,,,,,,0.554700196225229,0.215680837631225,0,1,5
5,,,0.0,"[0, 0]",0.301012992858886,1,"[[11.0, 2.0, -1.5707963267948961, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 5.0, 0.0, 0], [3.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.923925874035566, 0.5760741257394331]]",[1.0],[1.0],[0.8478517483483111],[0.15214825165168902],,,,,,,0.6666666666666661,0.229070901870727,0,1,5
6,,,1.0,"[0, 0]",0.47605752944946206,1,"[[11.0, 1.0, -1.5707963267948961, 0], [11.0, 1.0, 0.0, 1]]","[[3.0, 5.0, 0.0, 0], [3.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.923925874035566, 0.5760741257394331]]",[1.0],[1.0],[0.8478517483483111],[0.15214825165168902],,,,,1.0,0.37007188796997004,,,0,1,5
7,,,1.0,"[0, 0]",0.435639142990112,1,"[[11.0, 1.0, 0.0, 0], [13.0, 1.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 1.5707963267948961, 0], [3.0, 5.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.9348146852951661, 0.565185314479833]]",[1.0],[1.0],[0.8696293708707771],[0.130370629129222],,,,,1.0,0.33099699020385703,,,0,1,5
8,,,1.0,"[0, 0]",0.45925760269165006,1,"[[13.0, 1.0, 1.5707963267948961, 0], [13.0, 2.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 3.141592653589793, 0], [1.0, 5.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,0.8944271909999151,0.32644009590148904,,,0,1,5
9,,,0.0,"[1, 0]",0.23110747337341303,1,"[[13.0, 3.0, 1.5707963267948961, 0], [13.0, 5.0, 0.0, 1]]","[[1.0, 5.0, 4.71238898038469, 0], [0.9999999999999991, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.99999999985, 0.499999999925]]",[1.0],[1.0],[1.0],[0.0],,,,,,,0.707106781186547,0.161304712295532,0,1,5
0,0.9578262852211511,22.845432996749878,4.0,"[0, 0]",22.84913158416748,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,8
1,,,3.0,"[0, 0]",16.13763451576233,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[2.0, 4.0, -1.5707963267948961, 0], [2.0, 2.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.815000873188876, 0.684999126586123]]",[1.0],[1.0],[0.630001746622254],[0.369998253377745],0.9363291775690441,16.130205392837524,,,,,,,0,0,8
2,,,2.0,"[0, 0]",10.416538000106812,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[2.0, 2.0, 0.0, 0], [4.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8151484261916421, 0.684851573583357]]",[1.0],[1.0],[0.6302968526278291],[0.36970314737217],,,0.8944271909999151,10.411619186401367,,,,,0,0,8
3,,,1.0,"[0, 0]",4.817591905593872,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[4.0, 2.0, 0.0, 0], [6.0, 2.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8152590909437161, 0.684740908831283]]",[1.0],[1.0],[0.63051818213201],[0.369481817867989],,,,,0.8,4.813592195510864,,,0,0,8
4,,,0.0,"[0, 0]",0.839030265808105,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, 0.0, 1]]","[[4.0, 2.0, 1.5707963267948961, 0], [4.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.8913701050088411, 0.608629894766158]]",[1.0],[1.0],[0.7827402102850931],[0.217259789714906],,,,,,,0.554700196225229,0.8343651294708251,0,0,8
5,,,0.0,"[0, 0]",0.837179899215698,1,"[[11.0, 2.0, 0.0, 0], [12.0, 2.0, -1.5707963267948961, 1]]","[[4.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9022589162684401, 0.5977410835065591]]",[1.0],[1.0],[0.8045178328075591],[0.19548216719244002],,,,,,,0.6666666666666661,0.831125974655151,0,0,8
6,,,0.0,"[0, 0]",0.9027361869812011,1,"[[12.0, 2.0, -1.5707963267948961, 0], [12.0, 1.0, -1.5707963267948961, 1]]","[[3.0, 2.0, 1.5707963267948961, 0], [3.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.9239627622862571, 0.576037237488742]]",[1.0],[1.0],[0.8479255248497041],[0.152074475150295],,,,,,,0.632455532033675,0.8987784385681151,0,0,8
7,,,1.0,"[0, 0]",2.079709768295288,1,"[[12.0, 1.0, -1.5707963267948961, 0], [12.0, 1.0, 0.0, 1]]","[[3.0, 2.0, 3.141592653589793, 0], [3.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9239627622862571, 0.576037237488742]]",[1.0],[1.0],[0.8479255248497041],[0.152074475150295],,,,,0.9701425001453311,2.07633900642395,,,0,0,8
8,,,1.0,"[0, 0]",2.26219892501831,1,"[[12.0, 1.0, 0.0, 0], [12.0, 1.0, 0.0, 1]]","[[1.0, 2.0, 4.71238898038469, 0], [1.0, 2.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,0.9701425001453311,2.259458065032959,,,0,0,8
9,,,1.0,"[0, 0]",3.4589755535125732,1,"[[12.0, 1.0, 0.0, 0], [12.0, 1.0, 1.5707963267948961, 1]]","[[0.9999999999999991, 1.0, 0.0, 0], [3.0, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9239627622862571, 0.576037237488742]]",[1.0],[1.0],[0.8479255248497041],[0.152074475150295],,,,,0.9701425001453311,3.455375671386718,,,0,0,8
0,0.9578262852211511,0.8545844554901121,4.0,"[0, 0]",1.1268501281738281,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.782297551159386, 0.717702448615613]]",[1.0],[1.0],[0.564595102553461],[0.43540489744653804],,,,,,,,,0,1,8
1,,,3.0,"[0, 0]",0.852146863937377,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 4.0, -1.5707963267948961, 0], [2.0, 2.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.815000873188876, 0.684999126586123]]",[1.0],[1.0],[0.630001746622254],[0.369998253377745],0.9363291775690441,0.607871532440185,,,,,,,0,1,8
2,,,2.0,"[0, 0]",0.6506195068359371,1,"[[5.0, 2.0, 0.0, 0], [5.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 2.0, 0.0, 0], [4.0, 2.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.771593181153242, 0.728406818621757]]",[1.0],[1.0],[0.543186362537963],[0.456813637462036],,,0.8944271909999151,0.47460651397705006,,,,,0,1,8
3,,,1.0,"[0, 0]",0.48201441764831504,1,"[[7.0, 2.0, 0.0, 0], [7.0, 2.0, -1.5707963267948961, 1]]","[[4.0, 2.0, 0.0, 0], [4.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8151484261916421, 0.684851573583357]]",[1.0],[1.0],[0.6302968526278291],[0.36970314737217],,,,,0.8,0.356722593307495,,,0,1,8
4,,,0.0,"[0, 0]",0.30688214302062905,1,"[[9.0, 2.0, 0.0, 0], [10.0, 2.0, -1.5707963267948961, 1]]","[[4.0, 2.0, 1.5707963267948961, 0], [4.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.869592482489641, 0.630407517285358]]",[1.0],[1.0],[0.7391849652401601],[0.260815034759839],,,,,,,0.554700196225229,0.23319721221923803,0,1,8
5,,,0.0,"[0, 0]",0.308701515197753,1,"[[11.0, 2.0, 0.0, 0], [11.0, 2.0, 0.0, 1]]","[[4.0, 2.0, 3.141592653589793, 0], [3.0, 2.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9130739510266581, 0.5869260487483411]]",[1.0],[1.0],[0.8261479023272381],[0.17385209767276102],,,,,,,0.6666666666666661,0.239661931991577,0,1,8
6,,,0.0,"[0, 0]",0.272088766098022,1,"[[12.0, 2.0, -1.5707963267948961, 0], [12.0, 2.0, -3.141592653589793, 1]]","[[3.0, 2.0, 1.5707963267948961, 0], [3.0, 2.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.9239627622862571, 0.576037237488742]]",[1.0],[1.0],[0.8479255248497041],[0.152074475150295],,,,,,,0.632455532033675,0.212837696075439,0,1,8
7,,,1.0,"[0, 0]",0.49180054664611805,1,"[[12.0, 1.0, -1.5707963267948961, 0], [12.0, 1.0, -1.5707963267948961, 1]]","[[3.0, 2.0, 3.141592653589793, 0], [1.0, 2.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,0.9701425001453311,0.39354825019836404,,,0,1,8
8,,,1.0,"[0, 0]",0.47125506401062006,1,"[[12.0, 1.0, 0.0, 0], [12.0, 1.0, 0.0, 1]]","[[1.0, 2.0, 4.71238898038469, 0], [0.9999999999999991, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9782223773308001, 0.521777622444199]]",[1.0],[1.0],[0.9564447549550671],[0.043555245044932],,,,,0.9701425001453311,0.379310846328735,,,0,1,8
9,,,1.0,"[0, 0]",0.48076200485229403,1,"[[12.0, 1.0, 0.0, 0], [13.0, 1.0, 1.5707963267948961, 1]]","[[0.9999999999999991, 1.0, 0.0, 0], [3.0, 1.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9239627622862571, 0.576037237488742]]",[1.0],[1.0],[0.8479255248497041],[0.152074475150295],,,,,0.9701425001453311,0.374453067779541,,,0,1,8
0,0.9578262852211511,24.288371801376343,4.0,"[0, 0]",24.2941255569458,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,2
1,,,3.0,"[0, 0]",15.5606849193573,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8258527961977851, 0.674147203577214]]",[1.0],[1.0],[0.6517055926433261],[0.34829440735667305],0.9363291775690441,15.556888103485107,,,,,,,0,0,2
2,,,2.0,"[0, 0]",10.010148763656616,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8694080412361841, 0.630591958538815]]",[1.0],[1.0],[0.7388160827331911],[0.261183917266808],,,0.8944271909999151,10.005962371826172,,,,,0,0,2
3,,,1.0,"[0, 0]",4.06426191329956,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9020744750149841, 0.597925524760015]]",[1.0],[1.0],[0.8041489503005901],[0.195851049699409],,,,,0.8,4.060585260391235,,,0,0,2
4,,,0.0,"[0, 0]",0.803990840911865,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,,,0.554700196225229,0.7999134063720701,0,0,2
5,,,0.0,"[0, 0]",0.8401474952697751,1,"[[11.0, 2.0, -1.5707963267948961, 0], [11.0, 1.0, -3.141592653589793, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,,,0.6666666666666661,0.8363766670227051,0,0,2
6,,,1.0,"[0, 0]",1.653920173645019,1,"[[11.0, 1.0, -3.141592653589793, 0], [11.0, 1.0, -4.71238898038469, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,1.0,1.650742053985595,,,0,0,2
7,,,1.0,"[0, 0]",4.5270161628723145,1,"[[11.0, 1.0, -4.71238898038469, 0], [11.0, 3.0, -4.71238898038469, 1]]","[[2.0, 4.0, 0.0, 0], [4.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.913110839277349, 0.58688916049765]]",[1.0],[1.0],[0.8262216788286321],[0.17377832117136702],,,,,1.0,4.523272275924683,,,0,0,2
8,,,0.0,"[1, 0]",0.6956634521484371,1,"[[11.0, 3.0, -4.71238898038469, 0], [11.0, 5.0, -0.0, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 5.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.978296153832183, 0.521703845942816]]",[1.0],[1.0],[0.9565923079578541],[0.043407692042145],,,,,,,1.0,0.6920595169067381,0,0,2
0,0.9578262852211511,0.8285772800445551,4.0,"[0, 0]",1.108377695083618,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, 1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.738742306120986, 0.7612576936540131]]",[1.0],[1.0],[0.477484612463596],[0.522515387536403],,,,,,,,,0,1,2
1,,,3.0,"[0, 0]",0.866176843643188,1,"[[3.0, 2.0, 0.0, 0], [4.0, 2.0, 1.5707963267948961, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.804075173678585, 0.695924826096414]]",[1.0],[1.0],[0.608150347598394],[0.391849652401606],0.9363291775690441,0.650264501571655,,,,,,,0,1,2
2,,,2.0,"[0, 0]",0.687007904052734,1,"[[5.0, 2.0, 0.0, 0], [6.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.8476304187169851, 0.652369581058014]]",[1.0],[1.0],[0.6952608376882591],[0.30473916231174003],,,0.8944271909999151,0.507056951522827,,,,,0,1,2
3,,,1.0,"[0, 0]",0.460809230804443,1,"[[7.0, 2.0, 0.0, 0], [8.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.880296852495784, 0.619703147279215]]",[1.0],[1.0],[0.7605937052556581],[0.23940629474434102],,,,,0.8,0.337388038635253,,,0,1,2
4,,,0.0,"[0, 0]",0.330020904541015,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, 1.5707963267948961, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,,,0.554700196225229,0.270582199096679,0,1,2
5,,,0.0,"[0, 0]",0.27003407478332503,1,"[[11.0, 2.0, -1.5707963267948961, 0], [11.0, 1.0, 0.0, 1]]","[[2.0, 4.0, 3.141592653589793, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,,,0.6666666666666661,0.21357655525207503,0,1,2
6,,,1.0,"[0, 0]",0.43789386749267506,1,"[[11.0, 1.0, -3.141592653589793, 0], [11.0, 1.0, -3.141592653589793, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,1.0,0.35007095336914,,,0,1,2
7,,,1.0,"[0, 0]",0.5301880836486811,1,"[[11.0, 1.0, -4.71238898038469, 0], [11.0, 2.0, -4.71238898038469, 1]]","[[2.0, 4.0, 0.0, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9456297200533831, 0.554370279721616]]",[1.0],[1.0],[0.891259440390456],[0.10874055960954301],,,,,1.0,0.40848779678344704,,,0,1,2
8,,,0.0,"[0, 0]",0.28797245025634705,1,"[[11.0, 3.0, -4.71238898038469, 0], [11.0, 3.0, -4.71238898038469, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.956518531312983, 0.5434814684620161]]",[1.0],[1.0],[0.9130370629129221],[0.086962937087077],,,,,,,1.0,0.22171854972839303,0,1,2
0,0.9578262852211511,22.249058961868286,4.0,"[0, 0]",22.254371643066406,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,1
